iter	Passed	Remaining
1609	6034	1461
1610	6042	1459
1611	6044	1454
1612	6046	1450
1613	6047	1446
1614	6050	1442
1615	6057	1439
1616	6059	1435
1617	6060	1430
1618	6061	1426
1619	6063	1422
1620	6065	1418
1621	6067	1414
1622	6070	1410
1623	6071	1405
1624	6073	1401
1625	6075	1397
1626	6077	1393
1627	6078	1388
1628	6081	1385
1629	6085	1381
1630	6087	1377
1631	6089	1373
1632	6090	1368
1633	6092	1364
1634	6097	1361
1635	6098	1356
1636	6101	1353
1637	6103	1348
1638	6105	1344
1639	6107	1340
1640	6111	1336
1641	6117	1333
1642	6120	1329
1643	6123	1326
1644	6128	1322
1645	6133	1319
1646	6134	1314
1647	6138	1311
1648	6141	1307
1649	6149	1304
1650	6152	1300
1651	6153	1296
1652	6156	1292
1653	6160	1288
1654	6171	1286
1655	6176	1283
1656	6181	1279
1657	6184	1275
1658	6191	1272
1659	6193	1268
1660	6195	1264
1661	6197	1260
1662	6199	1256
1663	6202	1252
1664	6204	1248
1665	6208	1244
1666	6210	1240
1667	6212	1236
1668	6213	1232
1669	6215	1228
1670	6220	1224
1671	6222	1220
1672	6224	1216
1673	6226	1212
1674	6228	1208
1675	6231	1204
1676	6233	1200
1677	6238	1197
1678	6240	1193
1679	6242	1189
1680	6244	1184
1681	6245	1180
1682	6248	1176
1683	6251	1173
